ro_id,line_num,part_id,part_name,part_type,qty,is_primary_fix,unit_cost,line_cost,lead_time_days
RO000001,1,P-1166,TENSIONER-68,tensioner,1,True,119.02,119.02,3
RO000001,2,P-1271,CHAIN_LUBE-33,chain_lube,1,False,186.86,186.86,2
RO000001,3,P-1096,IDLER_ROLLER-45,idler_roller,1,False,84.28,84.28,10
RO000002,1,P-1349,RADIATOR_CORE-27,radiator_core,1,True,146.09,146.09,1
RO000002,2,P-1103,COOLANT_FILTER-30,coolant_filter,1,False,9.79,9.79,3
RO000002,3,P-1128,FAN-47,fan,1,False,8.0,8.0,5
RO000003,1,P-1150,RELAY-41,relay,1,True,185.03,185.03,9
RO000004,1,P-1007,PRESSURE_VALVE-37,pressure_valve,1,True,139.36,139.36,1
RO000004,2,P-1327,FLUID_FILTER-14,fluid_filter,1,False,98.49,98.49,2
RO000005,1,P-1076,RADIATOR_CORE-96,radiator_core,1,True,140.04,140.04,8
RO000005,2,P-1118,COOLANT_FILTER-45,coolant_filter,1,False,291.52,291.52,9
RO000006,1,P-1318,CONTACTOR-53,contactor,1,True,39.03,39.03,1
RO000006,2,P-1125,FUSE-67,fuse,1,False,261.24,261.24,8
RO000006,3,P-1114,RELAY-40,relay,1,False,125.14,125.14,2
RO000007,1,P-1050,AIR_REGULATOR-11,air_regulator,1,True,120.41,120.41,6
RO000007,2,P-1255,AIR_LINE-80,air_line,2,False,123.88,247.76,3
RO000007,3,P-1307,FRL_UNIT-65,frl_unit,1,False,142.4,142.4,2
RO000008,1,P-1328,HYDRAULIC_HOSE-32,hydraulic_hose,3,True,325.87,977.61,7
RO000008,2,P-1222,HYDRAULIC_HOSE-58,hydraulic_hose,1,False,8.0,8.0,6
RO000009,1,P-1085,AIR_REGULATOR-88,air_regulator,1,True,100.37,100.37,3
RO000009,2,P-1177,AIR_LINE-42,air_line,1,False,188.61,188.61,6
RO000009,3,P-1153,FRL_UNIT-15,frl_unit,3,False,118.33,354.99,7
RO000010,1,P-1108,AIR_LINE-29,air_line,1,True,94.78,94.78,10
RO000010,2,P-1191,FRL_UNIT-26,frl_unit,1,False,52.82,52.82,4
RO000011,1,P-1007,PRESSURE_VALVE-37,pressure_valve,3,True,139.36,418.08,1
RO000011,2,P-1002,FLUID_FILTER-27,fluid_filter,1,False,171.82,171.82,13
RO000012,1,P-1343,FUSE-17,fuse,1,True,22.23,22.23,9
RO000012,2,P-1245,RELAY-38,relay,1,False,254.97,254.97,10
RO000012,3,P-1309,HIGH_TEMP_GREASE-22,high_temp_grease,1,False,128.75,128.75,9
RO000013,1,P-1181,SPINDLE_MOTOR-73,spindle_motor,1,True,161.55,161.55,13
RO000013,2,P-1242,SHAFT_SEAL-81,shaft_seal,1,False,8.0,8.0,7
RO000013,3,P-1221,HIGH_TEMP_GREASE-73,high_temp_grease,1,False,150.73,150.73,6
RO000014,1,P-1316,PUMP-74,pump,1,True,8.0,8.0,13
