ro_id,machine_model,machine_age_years,operating_hours,symptom_text,failure_code,subsystem,environment,technician_notes,downtime_hours,estimated_total_parts_cost,created_at,label_all_part_ids,label_all_part_types,split
RO000786,VAN-C,8.3,19576,Intake actuator delayed,FC-PNE-07,pneumatic_intake,high_temp,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.38,286.21,2023-01-02 21:07:39,P-1015|P-1016|P-1017,air_line|frl_unit|solenoid_valve,train
RO000194,VAN-C,8.9,29791,Coolant leak suspected,FC-CLG-11,engine_cooling,dusty,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,7.75,132.06,2023-01-07 21:54:34,P-1005|P-1006,fan|thermostat,train
RO000496,TRUCK-T2,7.8,22308,Radiator efficiency low,FC-CLG-11,engine_cooling,dusty,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,3.89,239.09,2023-01-08 02:23:00,P-1003|P-1004,coolant_filter|radiator_core,train
RO000505,SUV-X,2.9,15493,Driveline vibration under load,FC-DRV-19,drivetrain,city_stopgo,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,6.36,185.36,2023-01-08 21:18:21,P-1028|P-1029,idler_roller|tensioner,train
RO000893,SEDAN-A,7.3,5791,Intermittent electrical fault,FC-ELC-22,electrical_power,high_temp,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.27,166.8,2023-01-09 03:13:22,P-1019|P-1022,fuse|relay,train
RO000102,COUPE-R,9.9,32225,Unexpected power cut,FC-ELC-22,electrical_power,city_stopgo,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,3.97,250.5,2023-01-09 03:46:43,P-1021|P-1023|P-1025,contactor|relay|wiring_harness,train
RO000322,SEDAN-B,8.8,11134,Coolant leak suspected,FC-CLG-11,engine_cooling,city_stopgo,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,8.65,274.79,2023-01-10 03:55:40,P-1002|P-1004,coolant_filter|radiator_core,train
RO000147,TRUCK-T2,6.7,8352,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,high_temp,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.04,224.07,2023-01-11 14:38:43,P-1028|P-1030,belt|idler_roller,train
RO000603,SEDAN-A,4.5,13326,Brake pedal spongy,FC-HYD-04,hydraulic_brake,high_humidity,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,2.13,128.3,2023-01-13 05:34:28,P-1007|P-1008,fluid_filter|pressure_valve,train
RO000870,TRUCK-T1,1.0,15762,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,normal,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,4.97,150.37,2023-01-13 22:44:48,P-1029|P-1030,belt|tensioner,train
RO000759,VAN-C,0.2,23777,Drive transfer slip,FC-DRV-19,drivetrain,high_humidity,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.54,353.3,2023-01-14 18:27:50,P-1026|P-1028,drive_chain|idler_roller,train
RO000903,SEDAN-B,5.6,13068,Coolant temperature high,FC-CLG-11,engine_cooling,city_stopgo,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,5.38,312.71,2023-01-16 14:40:41,P-1001|P-1002,coolant_filter|coolant_pump,train
RO000189,VAN-C,3.0,1761,Unexpected power cut,FC-ELC-22,electrical_power,normal,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,7.15,166.8,2023-01-17 09:14:58,P-1019|P-1022,fuse|relay,train
RO000223,SUV-X,7.4,22861,Coolant temperature high,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,8.83,210.86,2023-01-18 15:10:52,P-1001|P-1002,coolant_filter|coolant_pump,train
RO000478,SEDAN-A,4.6,8454,Brake pressure drop,FC-HYD-04,hydraulic_brake,normal,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,5.49,115.39,2023-01-19 13:57:13,P-1009|P-1013,hydraulic_hose|seal_kit,train
RO000974,TRUCK-T2,14.9,27131,Drive transfer slip,FC-DRV-19,drivetrain,city_stopgo,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,6.7,215.72,2023-01-23 00:20:27,P-1026|P-1029|P-1031,chain_lube|drive_chain|tensioner,train
RO000382,SEDAN-B,9.6,12640,Intermittent electrical fault,FC-ELC-22,electrical_power,high_temp,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,8.0,196.51,2023-01-23 20:58:55,P-1022|P-1023,contactor|relay,train
RO000950,VAN-C,8.8,15784,Control unit reset observed,FC-ELC-22,electrical_power,normal,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,8.09,179.76,2023-01-23 21:36:48,P-1021|P-1024,relay|sensor_prox,train
RO000914,COUPE-R,4.6,14065,Drive transfer slip,FC-DRV-19,drivetrain,dusty,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.23,185.36,2023-01-27 19:44:55,P-1028|P-1029,idler_roller|tensioner,train
RO000999,TRUCK-T2,1.2,17572,Brake pedal spongy,FC-HYD-04,hydraulic_brake,dusty,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,9.01,135.6,2023-01-28 05:09:19,P-1009|P-1012,hydraulic_hose|seal_kit,train
RO000025,SUV-Z,0.9,16477,Intermittent electrical fault,FC-ELC-22,electrical_power,high_temp,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.02,119.19,2023-02-01 15:49:19,P-1022|P-1023,contactor|relay,train
RO000700,SEDAN-A,2.1,13127,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,high_temp,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.43,198.9,2023-02-02 22:53:31,P-1017|P-1018,air_regulator|frl_unit,train
RO000128,TRUCK-T1,9.8,7114,Air regulation unstable,FC-PNE-07,pneumatic_intake,dusty,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.51,124.29,2023-02-06 00:04:30,P-1015|P-1016,air_line|solenoid_valve,train
RO000190,SUV-X,6.8,4680,Control unit reset observed,FC-ELC-22,electrical_power,high_humidity,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,2.91,155.43,2023-02-08 03:45:43,P-1021|P-1023,contactor|relay,train
RO000901,SEDAN-A,5.8,9027,Intake actuator delayed,FC-PNE-07,pneumatic_intake,normal,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.15,205.25,2023-02-10 22:32:29,P-1015|P-1016|P-1017,air_line|frl_unit|solenoid_valve,train
RO000620,SUV-X,5.5,23807,Brake pedal spongy,FC-HYD-04,hydraulic_brake,normal,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,9.42,102.65,2023-02-13 07:51:36,P-1010|P-1014,hydraulic_hose_revB|seal_kit_plus,train
RO000694,SEDAN-A,0.7,13593,Brake pressure drop,FC-HYD-04,hydraulic_brake,dusty,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,8.82,151.17,2023-02-13 09:50:02,P-1010|P-1014,hydraulic_hose_revB|seal_kit_plus,train
RO000553,TRUCK-T2,4.6,21464,Torque transfer delay,FC-DRV-19,drivetrain,normal,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,6.23,185.36,2023-02-13 17:23:44,P-1028|P-1029,idler_roller|tensioner,train
RO000101,TRUCK-T2,6.6,18983,Brake pressure drop,FC-HYD-04,hydraulic_brake,high_temp,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,8.4,323.3,2023-02-13 18:54:28,P-1007|P-1008|P-1011,fluid_filter|pressure_valve|pump,train
RO000245,TRUCK-T2,6.8,11301,Driveline vibration under load,FC-DRV-19,drivetrain,city_stopgo,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.63,215.72,2023-02-13 19:37:01,P-1026|P-1029|P-1031,chain_lube|drive_chain|tensioner,train
RO000047,COUPE-R,8.3,45821,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,normal,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.64,289.72,2023-02-14 20:19:50,P-1028|P-1030|P-1031,belt|chain_lube|idler_roller,train
RO000841,TRUCK-T2,10.8,11341,Control unit reset observed,FC-ELC-22,electrical_power,dusty,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.41,158.36,2023-02-16 12:14:32,P-1020|P-1021,fuse|relay,train
RO000353,TRUCK-T1,7.6,8965,Control unit reset observed,FC-ELC-22,electrical_power,high_temp,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.37,179.76,2023-02-22 05:02:50,P-1021|P-1024,relay|sensor_prox,train
RO000736,VAN-C,2.7,20434,Intake actuator delayed,FC-PNE-07,pneumatic_intake,high_temp,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,3.2,124.29,2023-02-22 19:20:40,P-1015|P-1016,air_line|solenoid_valve,train
RO000926,SEDAN-B,2.7,10289,Line speed not maintained,FC-ACC-09,conveyor_like_accessory,high_temp,Observed: Line speed not maintained. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,3.83,289.72,2023-02-22 22:25:58,P-1028|P-1030|P-1031,belt|chain_lube|idler_roller,train
RO000226,SUV-X,4.0,16494,Air regulation unstable,FC-PNE-07,pneumatic_intake,high_temp,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,3.99,198.9,2023-02-24 22:26:58,P-1017|P-1018,air_regulator|frl_unit,train
RO000619,TRUCK-T1,13.8,7644,Brake pressure drop,FC-HYD-04,hydraulic_brake,normal,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,0.5,115.39,2023-02-27 10:20:52,P-1009|P-1013,hydraulic_hose|seal_kit,train
