ro_id,machine_model,machine_age_years,operating_hours,symptom_text,failure_code,subsystem,environment,technician_notes,downtime_hours,estimated_total_parts_cost,created_at
RO000001,TRUCK-T1,7.8,27304,Driveline vibration under load,FC-DRV-19,drivetrain,city_stopgo,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,5.43,241.19,2026-06-07 18:52:00
RO000002,TRUCK-T1,12.0,100,Intermittent electrical fault,FC-ELC-22,electrical_power,high_humidity,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,7.14,199.44,2025-07-28 13:41:25
RO000003,VAN-C,6.8,12607,Coolant leak suspected,FC-CLG-11,engine_cooling,high_humidity,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,5.68,210.86,2023-03-10 11:40:25
RO000004,SEDAN-B,0.2,13242,Intake actuator delayed,FC-PNE-07,pneumatic_intake,normal,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.21,267.41,2025-12-09 11:04:43
RO000005,TRUCK-T2,11.7,10853,Drive transfer slip,FC-DRV-19,drivetrain,high_temp,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,3.88,447.54,2025-11-25 13:17:21
RO000006,SEDAN-A,4.7,22323,Torque transfer delay,FC-DRV-19,drivetrain,high_temp,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,6.16,181.54,2026-02-18 05:06:49
RO000007,SUV-Z,4.6,19106,Radiator efficiency low,FC-CLG-11,engine_cooling,high_temp,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,5.69,276.8,2026-06-22 12:33:18
RO000008,TRUCK-T2,9.9,9383,Radiator efficiency low,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,4.84,383.8,2025-03-02 08:01:12
RO000009,SEDAN-A,5.1,3291,Radiator efficiency low,FC-CLG-11,engine_cooling,normal,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.09,239.09,2025-07-15 17:47:18
RO000010,SUV-Z,7.4,15040,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,high_humidity,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,5.03,496.68,2023-03-10 22:50:59
RO000011,SEDAN-B,1.5,11634,Control unit reset observed,FC-ELC-22,electrical_power,highway_longhaul,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,4.81,119.19,2024-04-11 12:49:32
RO000012,VAN-C,3.7,13709,Coolant leak suspected,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.31,276.8,2026-03-08 04:28:40
RO000013,COUPE-R,13.1,16396,Unexpected power cut,FC-ELC-22,electrical_power,dusty,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.02,155.43,2024-11-17 20:54:43
RO000014,SUV-Z,6.2,100,Intermittent electrical fault,FC-ELC-22,electrical_power,highway_longhaul,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.45,166.8,2024-04-27 05:16:35
RO000015,SUV-Z,6.7,34705,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,highway_longhaul,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.12,248.58,2025-12-17 17:58:05
RO000016,SUV-Z,7.6,14722,Torque transfer delay,FC-DRV-19,drivetrain,high_temp,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,3.16,215.72,2026-06-03 03:23:17
RO000017,TRUCK-T2,10.5,21015,Line speed not maintained,FC-ACC-09,conveyor_like_accessory,dusty,Observed: Line speed not maintained. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,7.08,289.72,2025-08-09 17:20:02
RO000018,TRUCK-T1,3.3,26222,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,city_stopgo,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,2.7,115.39,2025-01-22 19:05:10
RO000019,SUV-X,8.6,32523,Drive transfer slip,FC-DRV-19,drivetrain,high_temp,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,3.52,245.42,2023-12-26 06:03:10
RO000020,SEDAN-A,4.5,15797,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,city_stopgo,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,4.49,397.8,2024-08-13 21:37:57
RO000021,SUV-Z,1.1,15548,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,dusty,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,3.38,128.3,2023-12-07 20:37:53
RO000022,SUV-X,8.2,7644,Unexpected power cut,FC-ELC-22,electrical_power,city_stopgo,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,8.6,203.04,2025-04-09 17:34:20
