part_id,part_type,part_name,category,subcategory,oem,unit_cost,lead_time_days,compatible_models,is_active,usage_bucket,sampling_weight
P-1001,coolant_pump,COOLANT_PUMP-13,cooling,pumps,OmniDrive,159.74,6,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,tail,0.0004235493434985
P-1002,fluid_filter,FLUID_FILTER-27,hydraulic,filters,AtlasMotion,171.82,13,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1003,radiator_core,RADIATOR_CORE-21,cooling,heat_exchange,VectorMech,101.27,6,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1004,spindle_motor,SPINDLE_MOTOR-21,electromechanical,motors,OmniDrive,246.34,10,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1005,fuse,FUSE-13,electrical,protection,VectorMech,82.44,9,CONV-X200|HYD-Press-880|HYD-Press-940|MILL-3AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1006,bearing_set,BEARING_SET-99,mechanical,bearings,AtlasMotion,82.93,5,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1007,pressure_valve,PRESSURE_VALVE-37,hydraulic,valves,AtlasMotion,139.36,1,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1008,idler_roller,IDLER_ROLLER-21,mechanical,rollers,OmniDrive,8.0,4,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1009,drive_chain,DRIVE_CHAIN-87,mechanical,chains,ForgeLine,38.97,8,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1010,spindle_motor,SPINDLE_MOTOR-78,electromechanical,motors,HydraCore,47.36,1,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1011,chain_lube,CHAIN_LUBE-80,consumable,lubricants,OmniDrive,237.25,6,CONV-X200|CONV-X350|PACK-700|PACK-900,True,tail,0.0004235493434985
