part_id,part_type,part_name,category,subcategory,oem,unit_cost,lead_time_days,compatible_models,is_active,usage_bucket,sampling_weight
P-1001,coolant_pump,COOLANT_PUMP-91,cooling,pumps,AtlasMotion,101.85,5,SEDAN-A|SUV-X|TRUCK-T2,True,head,0.0042
P-1002,coolant_filter,COOLANT_FILTER-23,cooling,filters,OmniDrive,109.01,12,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1003,coolant_filter,COOLANT_FILTER-81,cooling,filters,OmniDrive,73.31,5,SEDAN-B|SUV-Z|TRUCK-T1|VAN-C,True,head,0.0042
P-1004,radiator_core,RADIATOR_CORE-30,cooling,heat_exchange,VectorMech,165.78,9,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1005,fan,FAN-54,cooling,air_movement,ForgeLine,65.94,8,COUPE-R|SEDAN-A|SEDAN-B|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1006,thermostat,THERMOSTAT-56,cooling,controls,OmniDrive,66.12,4,COUPE-R|SEDAN-A|SEDAN-B|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,mid,0.00148
P-1007,fluid_filter,FLUID_FILTER-58,hydraulic,filters,VectorMech,90.82,1,COUPE-R|SEDAN-B|SUV-X|TRUCK-T2|VAN-C,True,head,0.0042
P-1008,pressure_valve,PRESSURE_VALVE-99,hydraulic,valves,ForgeLine,37.48,3,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1009,hydraulic_hose,HYDRAULIC_HOSE-38,hydraulic,hoses,ForgeLine,51.64,7,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1010,hydraulic_hose_revB,HYDRAULIC_HOSE_REVB-50,hydraulic,hoses,AtlasMotion,54.13,1,COUPE-R|SUV-Z|TRUCK-T2|VAN-C,True,head,0.0042
P-1011,pump,PUMP-41,hydraulic,pumps,OmniDrive,157.52,5,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1012,seal_kit,SEAL_KIT-16,mechanical,seals,HydraCore,83.96,1,SEDAN-B|SUV-X|TRUCK-T2,True,mid,0.00148
