ro_id,machine_model,machine_age_years,operating_hours,symptom_text,failure_code,subsystem,environment,technician_notes,downtime_hours,estimated_total_parts_cost,created_at,label_all_part_ids,label_all_part_types,split
RO000001,CONV-X350,5.8,11553,Line speed not maintained,FC-CON-09,conveyor,24x7_duty,Observed: Line speed not maintained. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,4.37,390.16,2024-10-25T15:11:31,P-1096|P-1166|P-1271,chain_lube|idler_roller|tensioner,train
RO000002,MILL-5AX,6.0,12567,Coolant temperature high,FC-CLG-11,cooling,high_temp,Observed: Coolant temperature high. Inspected cooling subsystem. Replaced primary component and verified normal operation.,6.17,163.88,2025-05-23T15:16:04,P-1103|P-1128|P-1349,coolant_filter|fan|radiator_core,train
RO000003,PACK-700,8.7,17872,Intermittent sensor fault,FC-ELC-22,electrical,high_temp,Observed: Intermittent sensor fault. Inspected electrical subsystem. rplcd primary component and vrfd normal operation.,2.93,185.03,2023-04-24T01:35:47,P-1150,relay,train
RO000004,HYD-Press-880,8.5,19582,Pressure unstable during press cycle,FC-HYD-04,hydraulic,high_humidity,Observed: Pressure unstable during press cycle. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,5.4,237.85,2024-01-07T18:54:17,P-1007|P-1327,fluid_filter|pressure_valve,train
RO000005,MILL-3AX,6.3,17184,Insufficient coolant flow alarm,FC-CLG-11,cooling,24x7_duty,Observed: Insufficient coolant flow alarm. Inspected cooling subsystem. Replaced primary component and verified normal operation.,4.58,431.56,2024-05-01T02:34:42,P-1076|P-1118,coolant_filter|radiator_core,train
RO000006,CNC-4020,12.7,29926,Intermittent sensor fault,FC-ELC-22,electrical,dusty,Observed: Intermittent sensor fault. Inspected electrical subsystem. Replaced primary component and verified normal operation.,5.36,425.41,2026-01-29T00:11:43,P-1114|P-1125|P-1318,contactor|fuse|relay,val
RO000007,CONV-X350,5.1,10916,Air pressure fluctuation in line,FC-PNE-07,pneumatic,high_humidity,Observed: Air pressure fluctuation in line. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,2.75,510.57,2025-09-06T18:15:42,P-1050|P-1255|P-1307,air_line|air_regulator|frl_unit,train
RO000008,HYD-Press-880,10.4,21858,Hydraulic force below setpoint,FC-HYD-04,hydraulic,dusty,,8.6,985.61,2026-06-17T04:41:54,P-1222|P-1328,hydraulic_hose,test
RO000009,CONV-X350,9.0,19713,Actuator response delayed,FC-PNE-07,pneumatic,normal,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,4.99,643.97,2023-05-06T05:36:59,P-1085|P-1153|P-1177,air_line|air_regulator|frl_unit,train
RO000010,PACK-700,7.3,17561,Actuator response delayed,FC-PNE-07,pneumatic,high_temp,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,3.42,147.6,2023-03-08T02:26:40,P-1108|P-1191,air_line|frl_unit,train
