ro_id,line_num,part_id,part_name,part_type,qty,unit_cost,line_cost,lead_time_days,is_primary_fix
RO000001,1,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,True
RO000001,2,P-1029,TENSIONER-17,tensioner,2,55.83,111.66,4,False
RO000002,1,P-1020,FUSE-67,fuse,1,44.8,44.8,6,True
RO000002,2,P-1022,RELAY-52,relay,2,77.32,154.64,4,False
RO000003,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000003,2,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000004,1,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,True
RO000004,2,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,False
RO000004,3,P-1015,SOLENOID_VALVE-30,solenoid_valve,2,62.16,124.32,4,False
RO000005,1,P-1026,DRIVE_CHAIN-66,drive_chain,2,94.24,188.48,4,True
RO000005,2,P-1028,IDLER_ROLLER-43,idler_roller,2,129.53,259.06,9,False
RO000006,1,P-1027,DRIVE_CHAIN-71,drive_chain,1,60.06,60.06,8,True
RO000006,2,P-1029,TENSIONER-17,tensioner,1,55.83,55.83,4,False
RO000006,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000007,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000007,2,P-1005,FAN-54,fan,1,65.94,65.94,8,False
RO000007,3,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000008,1,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,True
RO000008,2,P-1002,COOLANT_FILTER-23,coolant_filter,2,109.01,218.02,12,False
RO000009,1,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,True
RO000009,2,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000010,1,P-1011,PUMP-41,pump,2,157.52,315.04,5,True
RO000010,2,P-1007,FLUID_FILTER-58,fluid_filter,2,90.82,181.64,1,False
RO000011,1,P-1022,RELAY-52,relay,1,77.32,77.32,4,True
RO000011,2,P-1023,CONTACTOR-26,contactor,1,41.87,41.87,3,False
RO000012,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000012,2,P-1005,FAN-54,fan,1,65.94,65.94,8,False
RO000012,3,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000013,1,P-1021,RELAY-80,relay,1,113.56,113.56,6,True
RO000013,2,P-1023,CONTACTOR-26,contactor,1,41.87,41.87,3,False
RO000014,1,P-1019,FUSE-98,fuse,1,89.48,89.48,1,True
RO000014,2,P-1022,RELAY-52,relay,1,77.32,77.32,4,False
RO000015,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,2,62.16,124.32,4,True
RO000015,2,P-1016,AIR_LINE-91,air_line,2,62.13,124.26,13,False
RO000016,1,P-1026,DRIVE_CHAIN-66,drive_chain,1,94.24,94.24,4,True
RO000016,2,P-1029,TENSIONER-17,tensioner,1,55.83,55.83,4,False
RO000016,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000017,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000017,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000017,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000018,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000018,2,P-1013,SEAL_KIT-86,seal_kit,1,63.75,63.75,6,False
RO000019,1,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,True
RO000019,2,P-1029,TENSIONER-17,tensioner,1,55.83,55.83,4,False
